Name:,grav3,L1 Size:,64,L2 Size:,1024,L3 Size:,32768,,L1,L1,L2,L2,L3,L3,DRAM,DRAM,FP,FP,FP FMA,FP_FMA
Date,ISA,Precision,Threads,Loads,Stores,Interleaved,DRAM Bytes,FP Inst.,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,Gflop/s,I/Cycle,Gflop/s,I/Cycle
23:09:2024 14:59,neon,sp,1,2,1,No,524288,add,122.8894,2.2899,87.8025,1.2127,67.6834,1.1615,46.8842,0.7453,41.9507,4.0377,83.1678,4.0025
23:09:2024 15:10,armscalar,sp,1,2,1,No,524288,add,31.0647,3.003,29.8315,3.004,30.6652,2.9642,30.9456,2.2865,10.4745,4.0327,20.8716,4.0178
23:09:2024 15:21,neon,dp,1,2,1,No,524288,add,122.6209,2.3063,81.5368,1.213,67.5392,1.1615,46.7821,0.7453,20.8716,4.0178,41.5839,4.0025
23:09:2024 15:32,armscalar,dp,1,2,1,No,524288,add,61.8773,3.0276,56.803,2.2555,54.0726,2.2148,46.7102,1.3137,10.4745,4.0327,20.8716,4.0178
23:09:2024 15:43,neon,sp,2,2,1,No,524288,add,235.0502,4.5797,170.6135,2.4272,80.8691,1.6897,79.5858,1.3281,83.9013,8.0755,167.5901,8.0653
23:09:2024 15:54,armscalar,sp,2,2,1,No,524288,add,61.7868,6.0061,60.5112,6.008,61.2537,5.9536,61.8822,4.2666,20.8057,8.0102,41.7432,8.0356
23:09:2024 16:05,neon,dp,2,2,1,No,524288,add,235.0207,4.5797,168.3315,2.4261,80.9214,1.6771,79.6102,1.3281,41.898,8.0654,83.9013,8.0755
23:09:2024 16:16,armscalar,dp,2,2,1,No,524288,add,122.0029,6.006,116.2631,4.5057,80.7731,3.3621,79.6317,2.3704,20.8057,8.0102,41.7432,8.0356
23:09:2024 16:27,neon,sp,4,2,1,No,524288,add,488.9395,9.1594,321.5689,4.8522,121.4042,2.7792,119.8733,2.1744,167.8026,16.151,332.6712,16.0098
23:09:2024 16:38,armscalar,sp,4,2,1,No,524288,add,123.7741,12.0121,121.1333,12.016,119.4609,10.7615,118.0973,7.3123,41.6114,16.0204,83.4863,16.0711
23:09:2024 16:49,neon,dp,4,2,1,No,524288,add,490.5641,9.1594,333.4007,4.8522,121.5128,2.7881,119.8685,2.1744,83.4863,16.0711,167.8026,16.151
23:09:2024 17:00,armscalar,dp,4,2,1,No,524288,add,246.8341,12.012,229.7872,9.0115,121.8914,5.5341,119.7527,4.0135,41.6114,16.0204,83.4863,16.0711
23:09:2024 17:11,neon,sp,8,2,1,No,524288,add,952.9765,18.3189,702.6735,9.6083,220.8943,5.3211,211.2845,2.8139,335.6052,32.302,592.1756,28.4984
23:09:2024 17:22,armscalar,sp,8,2,1,No,524288,add,247.8736,24.0242,243.7144,23.5608,221.6876,19.8943,213.7954,10.0338,83.2229,32.0408,166.9726,32.1422
23:09:2024 17:33,neon,dp,8,2,1,No,524288,add,980.6407,18.2658,701.5956,9.6083,220.4797,5.3628,211.526,2.8139,167.5921,32.2615,293.5529,28.2545
23:09:2024 17:44,armscalar,dp,8,2,1,No,524288,add,493.9188,24.2206,479.914,17.8445,221.8468,10.698,212.6914,5.2677,83.2229,32.0408,166.9726,32.1422
23:09:2024 17:55,neon,sp,16,2,1,No,1048576,add,1956.8388,36.5316,1378.859,19.2231,310.4366,10.9336,220.8874,2.8464,671.2104,64.604,981.8132,47.2498
23:09:2024 18:06,armscalar,sp,16,2,1,No,1048576,add,495.6662,48.0484,488.7571,48.064,320.442,39.8627,222.6749,11.0371,167.5921,64.5229,333.9452,64.2844
23:09:2024 18:17,neon,dp,16,2,1,No,1048576,add,1958.4608,36.5316,1387.9357,19.2231,308.7172,11.0722,220.5863,2.8464,333.9452,64.2844,489.7161,47.1352
23:09:2024 18:28,armscalar,dp,16,2,1,No,1048576,add,987.8375,48.0482,965.5803,35.3392,316.8528,21.732,221.3524,5.5727,166.4457,64.0816,333.9452,64.2844
23:09:2024 18:39,neon,sp,32,2,1,No,2097152,add,3924.2962,73.2754,2564.8504,38.4245,416.0203,29.3723,238.9811,3.0396,1148.5053,110.5436,1756.6763,84.54
23:09:2024 18:50,armscalar,sp,32,2,1,No,2097152,add,991.0701,96.0969,974.814,95.5628,414.538,86.9029,243.7189,11.4831,332.8914,128.1632,667.8905,128.5689
23:09:2024 19:01,neon,dp,32,2,1,No,2097152,add,3923.7823,73.2754,2615.9908,38.4245,409.5678,36.4479,238.7953,3.0396,576.1506,110.909,879.8279,84.6834
23:09:2024 19:12,armscalar,dp,32,2,1,No,2097152,add,1975.6979,96.0964,1897.9251,70.6784,419.9332,64.4567,241.9881,5.9624,335.1842,129.0459,599.1878,115.3436
23:09:2024 19:23,neon,sp,48,2,1,No,3145728,add,5891.6488,109.9131,3607.5199,57.6368,469.6645,55.0411,243.4422,2.9528,1623.8809,156.2985,2557.5083,123.0801
23:09:2024 19:35,armscalar,sp,48,2,1,No,3145728,add,1490.838,144.1453,1468.1552,144.192,497.7604,133.8238,252.9638,12.0405,499.3371,192.2448,1001.8357,192.8533
23:09:2024 19:46,neon,dp,48,2,1,No,3145728,add,5882.395,109.5948,3955.4974,57.6368,487.1505,57.5261,242.6443,2.9528,811.5978,156.2326,1276.4804,122.8612
23:09:2024 19:57,armscalar,dp,48,2,1,No,3145728,add,2969.0964,143.8706,2892.2146,108.1379,494.6658,106.3188,249.4194,6.0202,499.3371,192.2448,859.4915,165.4521
23:09:2024 20:08,neon,sp,64,2,1,No,4194304,add,7830.0077,146.646,5120.9608,76.8989,551.0506,76.6581,241.7824,2.9547,2105.8728,202.8219,3355.4642,161.5866
23:09:2024 20:19,armscalar,sp,64,2,1,No,4194304,add,1982.9049,192.3026,1940.6825,188.4862,567.3519,175.688,252.213,12.0405,670.3684,258.0918,1335.781,257.1378
23:09:2024 20:30,neon,dp,64,2,1,No,4194304,add,7860.5062,146.646,5530.7408,76.8989,554.1693,76.6581,241.8971,2.9547,1054.0161,203.0299,1677.7216,161.5856
23:09:2024 20:42,armscalar,dp,64,2,1,No,4194304,add,3951.8428,191.8275,3688.8357,139.9844,560.8298,132.7281,249.4654,6.0202,670.3684,258.0918,1127.5128,217.0462
23:09:2024 20:53,neon,sp,1,2,1,No,524288,div,122.8894,2.3063,87.8025,1.213,67.6834,1.1691,46.8842,0.7453,3.4953,0.3364,83.7951,4.0326
23:09:2024 21:04,armscalar,sp,1,2,1,No,524288,div,31.0647,3.0047,29.8315,2.9987,30.6652,2.9808,30.9456,2.2865,3.4953,1.3457,20.8716,4.0178
23:09:2024 21:15,neon,dp,1,2,1,No,524288,div,122.6209,2.3063,81.5368,1.213,67.5392,1.1648,46.7821,0.7453,1.7341,0.3338,41.9507,4.0377
23:09:2024 21:26,armscalar,dp,1,2,1,No,524288,div,61.8773,3.0276,56.803,2.2529,54.0726,2.1982,46.7102,1.3137,1.7341,0.6676,20.8716,4.0178
23:09:2024 21:38,neon,sp,2,2,1,No,524288,div,235.0502,4.5797,170.6135,2.4261,80.8691,1.6941,79.5858,1.3281,6.9905,0.6728,166.3356,8.0049
23:09:2024 21:49,armscalar,sp,2,2,1,No,524288,div,61.7868,6.0061,60.5112,6.008,61.2537,5.9193,61.8822,4.2666,6.9905,2.6913,41.7432,8.0356
23:09:2024 22:00,neon,dp,2,2,1,No,524288,div,235.0207,4.5797,168.3315,2.4261,80.9214,1.6857,79.6102,1.3281,3.4682,0.6676,83.9013,8.0755
23:09:2024 22:11,armscalar,dp,2,2,1,No,524288,div,122.0029,6.0552,116.2631,4.5057,80.7731,3.3457,79.6317,2.3704,3.4847,1.3416,41.7432,8.0356
23:09:2024 22:22,neon,sp,4,2,1,No,524288,div,488.9395,9.1329,321.5689,4.8543,121.4042,2.7881,119.8733,2.1744,13.981,1.3457,335.1802,16.1305
23:09:2024 22:34,armscalar,sp,4,2,1,No,524288,div,123.7741,12.0121,121.1333,11.9454,119.4609,10.8134,118.0973,7.3123,13.981,5.3827,83.4863,16.0711
23:09:2024 22:45,neon,dp,4,2,1,No,524288,div,490.5641,9.1594,333.4007,4.8522,121.5128,2.7929,119.8685,2.1744,6.9363,1.3352,166.3356,16.0098
23:09:2024 22:56,armscalar,dp,4,2,1,No,524288,div,246.8341,12.1103,229.7872,9.022,121.8914,5.5341,119.7527,4.0135,6.9363,2.6705,83.4863,16.0711
23:09:2024 23:07,neon,sp,8,2,1,No,524288,div,952.9765,18.2658,702.6735,9.5141,220.8943,5.3236,211.2845,2.8139,27.962,2.6913,590.5086,28.4182
23:09:2024 23:18,armscalar,sp,8,2,1,No,524288,div,247.8736,24.0242,243.7144,23.1077,221.6876,20.1337,213.7954,10.0338,27.962,10.7654,166.9726,32.1422
23:09:2024 23:29,neon,dp,8,2,1,No,524288,div,980.6407,18.2658,701.5956,9.6116,220.4797,5.3145,211.526,2.8139,13.8727,2.6705,295.9428,28.4845
23:09:2024 23:40,armscalar,dp,8,2,1,No,524288,div,493.9188,24.2206,479.914,17.6696,221.8468,10.5924,212.6914,5.2677,13.8727,5.341,166.9726,32.1422
23:09:2024 23:51,neon,sp,16,2,1,No,1048576,div,1956.8388,36.6377,1378.859,19.2166,310.4366,10.8495,220.8874,2.8464,55.9241,5.3827,979.9782,47.1614
24:09:2024 00:02,armscalar,sp,16,2,1,No,1048576,div,495.6662,48.0484,488.7571,48.064,320.442,39.622,222.6749,11.0371,55.9241,21.5308,335.1842,64.5229
24:09:2024 00:13,neon,dp,16,2,1,No,1048576,div,1958.4608,36.6377,1387.9357,19.2166,308.7172,11.1768,220.5863,2.8708,27.7453,5.341,489.7161,47.1352
24:09:2024 00:24,armscalar,dp,16,2,1,No,1048576,div,987.8375,48.4413,965.5803,34.3295,316.8528,21.711,221.3524,5.5727,27.8773,10.7328,333.9452,64.2844
24:09:2024 00:35,neon,sp,32,2,1,No,2097152,div,3924.2962,73.2754,2564.8504,38.4245,416.0203,37.6941,238.9811,3.0396,110.845,10.6688,1753.707,84.3971
24:09:2024 00:46,armscalar,sp,32,2,1,No,2097152,div,991.0701,96.0969,974.814,94.2431,414.538,88.8445,243.7189,11.4831,111.8481,43.0615,667.8905,128.5689
24:09:2024 00:57,neon,dp,32,2,1,No,2097152,div,3923.7823,73.2754,2615.9908,38.4245,409.5678,37.1557,238.7953,3.0396,55.4906,10.6819,881.1604,84.8117
24:09:2024 01:08,armscalar,dp,32,2,1,No,2097152,div,1975.6979,95.9138,1897.9251,72.0919,419.9332,65.0099,241.9881,5.9624,55.4906,21.3639,599.1878,115.3436
24:09:2024 01:19,neon,sp,48,2,1,No,3145728,div,5891.6488,109.9488,3607.5199,57.6555,469.6645,57.2181,243.4422,2.9537,167.7722,16.1533,2540.4557,122.2991
24:09:2024 01:30,armscalar,sp,48,2,1,No,3145728,div,1490.838,144.1453,1468.1552,144.192,497.7604,135.0863,252.9638,12.0405,167.7722,64.5923,1001.8357,192.8533
24:09:2024 01:41,neon,dp,48,2,1,No,3145728,div,5882.395,109.5948,3955.4974,57.6368,487.1505,57.5261,242.6443,2.9812,83.236,16.0229,1281.2645,123.3217
24:09:2024 01:53,armscalar,dp,48,2,1,No,3145728,div,2969.0964,144.1446,2892.2146,108.1379,494.6658,102.8069,249.4194,6.0202,83.236,32.0458,864.2259,166.3635
24:09:2024 02:04,neon,sp,64,2,1,No,4194304,div,7830.0077,146.5508,5120.9608,76.849,551.0506,75.8646,241.7824,2.9528,221.4593,21.3154,3355.4642,161.4817
24:09:2024 02:15,armscalar,sp,64,2,1,No,4194304,div,1982.9049,192.2562,1940.6825,183.1604,567.3519,177.3723,252.213,12.0444,221.4593,85.2895,1335.781,257.2213
24:09:2024 02:26,neon,dp,64,2,1,No,4194304,div,7860.5062,146.5508,5530.7408,76.849,554.1693,75.1351,241.8971,2.9528,110.9813,21.3639,1674.524,161.1729
24:09:2024 02:37,armscalar,dp,64,2,1,No,4194304,div,3951.8428,191.8275,3688.8357,137.4118,560.8298,131.5105,249.4654,6.0202,110.9813,42.7278,1127.5128,217.0462
